日期,日续费率,周续费率,月续费率
2022-05-12,0.09,0.18,0.45
2022-05-13,0.0,0.33,0.75
2022-05-14,0.04,0.17,0.61
2022-05-15,0.04,0.26,0.65
2022-05-16,0.06,0.24,0.71
2022-05-17,0.0,0.23,0.64
2022-05-18,0.0,0.08,0.54
2022-05-19,0.04,0.28,0.52
2022-05-20,0.1,0.1,0.8
2022-05-21,0.12,0.38,0.75
2022-05-22,0.0,0.26,0.67
2022-05-23,0.06,0.11,0.61
2022-05-24,0.0,0.18,0.64
2022-05-25,0.0,0.2,0.73
2022-05-26,0.1,0.6,0.9
2022-05-27,0.0,0.07,0.5
2022-05-28,0.0,0.2,0.65
2022-05-29,0.0,0.24,0.41
2022-05-30,0.08,0.31,0.62
2022-05-31,0.04,0.15,0.54
2022-06-01,0.06,0.19,0.31
2022-06-02,0.0,0.0,0.59
2022-06-03,0.22,0.44,0.56
2022-06-04,0.07,0.24,0.62
2022-06-05,0.05,0.32,0.59
2022-06-06,0.07,0.27,0.33
2022-06-07,0.12,0.31,0.44
2022-06-08,0.0,0.0,0.5
2022-06-09,0.0,0.2,0.4
2022-06-10,0.0,0.04,0.25
2022-06-11,0.0,0.11,0.33
2022-06-12,0.0,0.24,0.29
2022-06-13,0.0,0.12,0.12
2022-06-14,0.0,0.2,0.35
2022-06-15,0.0,0.23,0.31
2022-06-16,0.0,0.24,0.24
2022-06-17,0.0,0.41,0.59
2022-06-18,0.0,0.27,0.33
2022-06-19,0.07,0.14,0.14
2022-06-20,0.06,0.17,0.17
2022-06-21,0.06,0.06,0.06
2022-06-22,0.0,0.07,0.07
2022-06-23,0.0,0.13,0.13
2022-06-24,0.0,0.05,0.05
2022-06-25,0.0,0.0,0.0
2022-06-26,0.0,0.0,0.0
